 Iteration   Func-count     min f(x)         Procedure
   221          355          5.16738         reflect
   222          356          5.16738         reflect
   223          357          5.16738         reflect
   224          358          5.16738         reflect
   225          359          5.16738         reflect
   226          360          5.16738         reflect
   227          362          5.16738         contract inside
   228          363          5.16738         reflect
   229          364          5.16738         reflect
   230          366          5.16738         contract inside
   231          367          5.16738         reflect
   232          369          5.16738         contract inside
   233          371          5.16738         contract inside
   234          372          5.16738         reflect
   235          374          5.16738         contract inside
   236          376          5.16738         contract inside
   237          378          5.16738         contract inside
   238          380          5.16738         contract inside
   239          381          5.16738         reflect
   240          383          5.16738         contract inside
   241          384          5.16738         reflect
   242          385          5.16738         reflect
   243          387          5.16738         contract inside
   244          389          5.15359         reflect
   245          390          5.15359         reflect
   246          391          5.15359         reflect
   247          392          5.15359         reflect
   248          394          5.15359         contract inside
   249          396          5.15359         contract inside
   250          398          5.03796         expand
   251          399          5.03796         reflect
   252          400          5.03796         reflect
   253          402          5.03796         contract inside
   254          403          5.03796         reflect
   255          404          5.03796         reflect
   256          405          5.03796         reflect
   257          407          5.03796         contract inside
   258          408          5.03796         reflect
   259          409          5.03796         reflect
   260          410          5.03796         reflect
   261          411          5.03796         reflect
   262          412          5.03796         reflect
   263          413          5.03796         reflect
   264          414          5.03796         reflect
   265          415          5.03796         reflect
   266          416          5.03796         reflect
   267          418          5.03473         reflect
   268          419          5.03473         reflect
   269          420          5.03473         reflect
   270          421          5.03473         reflect
   271          423          5.02649         reflect
   272          425           4.9604         expand
   273          426           4.9604         reflect
   274          427           4.9604         reflect
   275          428           4.9604         reflect
   276          429           4.9604         reflect
   277          431          4.93965         expand
   278          432          4.93965         reflect
   279          434          4.86703         expand
   280          435          4.86703         reflect
   281          436          4.86703         reflect
   282          437          4.86703         reflect
   283          438          4.86703         reflect
   284          440          4.82326         expand
   285          441          4.82326         reflect
   286          442          4.82326         reflect
   287          444          4.72187         expand
   288          445          4.72187         reflect
   289          446          4.72187         reflect
   290          447          4.72187         reflect
   291          449           4.6824         expand
   292          450           4.6824         reflect
   293          452          4.62389         expand
   294          453          4.62389         reflect
   295          455          4.51468         expand
   296          456          4.51468         reflect
   297          457          4.51468         reflect
   298          458          4.51468         reflect
   299          459          4.51468         reflect
   300          461          4.29069         expand
   301          462          4.29069         reflect
   302          463          4.29069         reflect
   303          464          4.29069         reflect
   304          465          4.29069         reflect
   305          466          4.29069         reflect
   306          467          4.29069         reflect
   307          469          4.15549         expand
   308          470          4.15549         reflect
   309          471          4.15549         reflect
   310          472          4.15549         reflect
   311          473          4.15549         reflect
   312          474          4.15549         reflect
   313          475          4.15549         reflect
   314          476          4.15549         reflect
   315          477          4.15549         reflect
   316          478          4.15549         reflect
   317          479          4.15549         reflect
   318          481          4.08593         reflect
   319          482          4.08593         reflect
   320          483          4.08593         reflect
   321          484          4.08593         reflect
   322          486          4.02027         reflect
   323          487          4.02027         reflect
   324          488          4.02027         reflect
   325          489          4.02027         reflect
   326          491          3.99583         reflect
