Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           2.809            23.7        0
    2              590           2.808           23.61        0
    3              780           2.808           35.44        1
    4              970           2.808           29.12        2
    5             1160           2.806           24.07        0
    6             1350           2.805           28.61        0
    7             1540           2.805           37.43        0
    8             1730           2.805           37.57        1
    9             1920           2.805           35.01        2
   10             2110           2.805            25.2        3
   11             2300           2.805            20.8        4
   12             2490           2.805           15.91        5
   13             2680           2.805           13.74        6
   14             2870           2.805           8.994        7
   15             3060           2.805           6.193        8
   16             3250           2.805           4.248        9
   17             3440           2.802           3.621        0
   18             3630             2.8           3.367        0
   19             3820             2.8           3.302        1
   20             4010             2.8           3.141        0
   21             4200           2.799            3.43        0
   22             4390           2.799           4.254        0
   23             4580           2.799           5.417        1
   24             4770           2.799           5.149        2
   25             4960           2.799           4.952        0
   26             5150           2.799           4.516        1
   27             5340           2.798           3.963        0
   28             5530           2.798           3.988        0
   29             5720           2.798            6.38        1
   30             5910           2.798           4.968        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           2.798           4.073        0
   32             6290           2.798           4.665        1
   33             6480           2.795           3.865        0
   34             6670           2.795           4.464        1
   35             6860           2.795           3.873        2
   36             7050           2.795           3.544        3
   37             7240           2.794           3.179        0
   38             7430           2.794           3.066        0
   39             7620           2.794           3.278        0
   40             7810           2.794            4.42        1
   41             8000           2.793           4.002        0
   42             8190           2.793            4.37        0
   43             8380           2.793           5.819        1
   44             8570           2.793           4.927        2
   45             8760           2.792            4.09        0
   46             8950           2.791           4.423        0
   47             9140           2.791           5.919        1
   48             9330           2.791           6.089        2
   49             9520           2.791           4.579        3
   50             9710           2.791           4.084        0
   51             9900           2.791           3.996        0
   52            10090            2.79           4.313        0
   53            10280           2.785           8.238        0
   54            10470           2.785           12.97        1
   55            10660           2.785           13.88        2
   56            10850            2.78           10.24        0
   57            11040            2.78           9.475        1
   58            11230           2.779           7.484        0
   59            11420           2.779           9.304        1
   60            11610           2.779           7.676        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           2.779           5.717        3
   62            11990           2.779           4.501        0
   63            12180           2.779           4.033        1
   64            12370           2.779           3.876        2
   65            12560           2.779           3.612        0
   66            12750           2.778           3.465        0
   67            12940           2.778           3.543        1
   68            13130           2.778           3.368        0
   69            13320           2.777           3.724        0
   70            13510           2.777             4.1        1
   71            13700           2.775           4.179        0
   72            13890           2.774           4.623        0
   73            14080           2.774           8.866        1
   74            14270           2.773           5.808        0
   75            14460           2.773           5.438        0
   76            14650           2.773           8.272        0
   77            14840           2.773           9.511        0
   78            15030           2.773           15.76        0
   79            15220           2.773           23.38        1
   80            15410           2.773           23.93        2
   81            15600           2.773           27.47        3
   82            15790           2.773           24.68        4
   83            15980           2.773           15.11        5
   84            16170           2.773           11.45        6
   85            16360           2.771           8.549        0
   86            16550           2.771           5.435        1
   87            16740           2.771           4.255        2
   88            16930           2.771           3.726        3
   89            17120            2.77           3.247        0
   90            17310            2.77           3.145        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500            2.77           3.338        1
   92            17690           2.769            3.15        0
   93            17880           2.769            3.54        1
   94            18070           2.769           3.407        0
   95            18260           2.769             3.6        0
   96            18450           2.768           4.511        0
   97            18640           2.768           7.132        1
   98            18830           2.768            6.51        0
   99            19020           2.768           8.448        0
  100            19210           2.768           8.391        1
  101            19400           2.767           9.155        0
  102            19590           2.767           8.606        1
  103            19780           2.767           9.137        2
  104            19970           2.767           7.463        0
  105            20160           2.767           7.333        1
  106            20350           2.767           5.792        0
  107            20540           2.767           6.921        0
  108            20730           2.767             9.1        1
  109            20920           2.767           11.23        2
  110            21110           2.767           6.911        0
  111            21300           2.767           6.201        1
  112            21490           2.765           5.666        0
  113            21680           2.765           5.421        1
  114            21870           2.765           5.064        2
  115            22060           2.765            4.36        3
  116            22250           2.765           3.874        4
  117            22440           2.764           3.346        0
  118            22630           2.762           3.252        0
  119            22820           2.762           3.052        1
  120            23010           2.762           3.179        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           2.762           2.962        0
  122            23390           2.762           3.094        1
  123            23580           2.762           2.961        0
  124            23770           2.761           3.061        0
  125            23960            2.76           3.279        0
  126            24150            2.76             3.9        1
  127            24340           2.759           3.857        0
  128            24530           2.759           4.646        1
  129            24720           2.758           4.348        0
  130            24910           2.757           4.482        0
  131            25100           2.756           6.228        0
  132            25290           2.756           8.957        1
  133            25480           2.756           10.81        2
  134            25670           2.756           7.632        3
  135            25860           2.756           4.669        4
  136            26050           2.755           3.852        0
  137            26240           2.755           3.911        1
  138            26430           2.755           3.533        2
  139            26620           2.755           3.212        3
  140            26810           2.755           3.064        0
  141            27000           2.755           2.934        0
  142            27190           2.754           3.112        0
  143            27380           2.754           3.227        0
  144            27570           2.754           3.983        0
  145            27760           2.754           6.335        1
  146            27950           2.754           5.915        2
  147            28140           2.754           4.426        3
  148            28330           2.754           3.719        0
  149            28520           2.754           3.653        1
  150            28710           2.754            3.52        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            28900           2.754           3.746        1
  152            29090           2.754           3.617        0
  153            29280           2.754           3.694        1
  154            29470           2.753           3.542        0
  155            29660           2.753           3.467        1
  156            29850           2.753           3.167        0
  157            30040           2.753           3.297        1
  158            30230           2.753           3.207        2
  159            30420           2.753               3        3
  160            30610           2.753           2.884        0
