Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           2.526            15.5        0
    2              590           2.526           25.62        1
    3              780           2.526           27.22        2
    4              970           2.525           26.13        0
    5             1160           2.525           25.31        0
    6             1350           2.525           40.22        1
    7             1540           2.525           38.19        2
    8             1730           2.525           33.16        3
    9             1920           2.525            25.5        4
   10             2110           2.525           19.89        5
   11             2300           2.525           15.19        6
   12             2490           2.525           10.51        7
   13             2680           2.525           8.028        8
   14             2870           2.525           5.686        9
   15             3060           2.525           5.049       10
   16             3250           2.525            3.11       11
   17             3440           2.525           2.899        0
   18             3630           2.525           2.851        0
   19             3820           2.525           2.744        1
   20             4010           2.525           2.716        0
   21             4200           2.525           2.733        0
   22             4390           2.525           2.864        1
   23             4580           2.525           2.749        0
   24             4770           2.525           2.854        0
   25             4960           2.525           3.184        1
   26             5150           2.525           2.851        0
   27             5340           2.525           2.973        1
   28             5530           2.525           3.054        0
   29             5720           2.525           3.215        1
   30             5910           2.525           2.954        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           2.525           2.759        3
   32             6290           2.525           2.703        4
   33             6480           2.525           2.652        0
   34             6670           2.525           2.606        0
   35             6860           2.525            2.64        1
   36             7050           2.525           2.624        2
   37             7240           2.525           2.601        0
   38             7430           2.525           2.596        0
   39             7620           2.525           2.622        1
   40             7810           2.525           2.614        0
   41             8000           2.525            2.63        1
   42             8190           2.525           2.588        0
   43             8380           2.525           2.604        0
   44             8570           2.525           2.757        0
   45             8760           2.525           3.159        1
   46             8950           2.525            2.97        2
   47             9140           2.525           2.897        0
   48             9330           2.525            2.86        0
   49             9520           2.525           2.936        1
   50             9710           2.525           2.824        2
   51             9900           2.525           2.749        0
   52            10090           2.525           2.858        1
   53            10280           2.525           2.788        2
   54            10470           2.525           2.653        0
   55            10660           2.525            2.66        0
   56            10850           2.525           2.892        1
   57            11040           2.525           2.739        2
   58            11230           2.525           2.665        3
   59            11420           2.525           2.633        4
   60            11610           2.525           2.556        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           2.525           2.552        0
   62            11990           2.524           2.558        0
   63            12180           2.524           2.586        1
   64            12370           2.524           2.576        0
   65            12560           2.524           2.638        0
   66            12750           2.524           2.742        0
   67            12940           2.524           3.094        1
   68            13130           2.524           3.195        0
   69            13320           2.524           3.448        1
   70            13510           2.524           2.878        2
   71            13700           2.524           2.743        0
   72            13890           2.524           2.798        0
   73            14080           2.524           2.945        0
   74            14270           2.524           3.701        1
   75            14460           2.524           3.533        2
   76            14650           2.524           3.141        3
   77            14840           2.524           2.917        4
   78            15030           2.524           2.668        0
   79            15220           2.524            2.67        0
   80            15410           2.524            2.79        0
   81            15600           2.524           2.908        0
   82            15790           2.524           3.265        0
   83            15980           2.524            5.47        1
   84            16170           2.524           5.272        0
   85            16360           2.524           6.666        0
   86            16550           2.524           6.683        1
   87            16740           2.524           7.615        2
   88            16930           2.524            6.83        3
   89            17120           2.524           4.274        4
   90            17310           2.524           3.562        5

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           2.524           3.167        0
   92            17690           2.524           2.951        1
   93            17880           2.524           2.718        2
   94            18070           2.523           2.642        0
   95            18260           2.523           2.655        0
   96            18450           2.523           2.671        1
   97            18640           2.523           2.696        0
   98            18830           2.523           2.755        0
   99            19020           2.523           2.822        0
  100            19210           2.523           3.525        1
  101            19400           2.523           3.557        2
  102            19590           2.523           3.296        3
  103            19780           2.523           3.023        4
  104            19970           2.523           2.799        5
  105            20160           2.523           2.763        6
  106            20350           2.523           2.655        0
  107            20540           2.523           2.644        1
  108            20730           2.523           2.591        0
  109            20920           2.523           2.545        0
  110            21110           2.523           2.558        0
  111            21300           2.523           2.585        0
  112            21490           2.523           2.665        0
  113            21680           2.523           2.982        0
  114            21870           2.523            3.61        0
  115            22060           2.523           4.596        1
  116            22250           2.523           5.042        0
  117            22440           2.523           5.584        1
  118            22630           2.523           5.388        2
  119            22820           2.523            4.33        3
  120            23010           2.523           3.518        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           2.523           3.669        0
  122            23390           2.523           3.566        1
  123            23580           2.522           3.491        0
  124            23770           2.522           3.513        1
  125            23960           2.522           3.614        2
  126            24150           2.522           3.382        0
  127            24340           2.522           3.252        0
  128            24530           2.522            3.43        1
  129            24720           2.522           3.291        2
  130            24910           2.522           2.884        0
  131            25100           2.522           3.004        1
  132            25290           2.522           2.968        0
  133            25480           2.522           3.357        1
  134            25670           2.521            3.04        0
  135            25860           2.521           3.123        1
  136            26050            2.52           3.117        0
  137            26240            2.52           3.065        1
  138            26430            2.52           2.956        2
  139            26620            2.52           2.752        3
  140            26810            2.52           2.636        0
  141            27000            2.52           2.587        0
  142            27190            2.52           2.731        0
  143            27380           2.519           2.836        0
  144            27570           2.519           3.448        0
  145            27760           2.519           5.086        1
  146            27950           2.519           4.277        2
  147            28140           2.519           3.728        0
  148            28330           2.519           4.278        0
  149            28520           2.519           4.882        0
  150            28710           2.519           7.718        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            28900           2.519           8.594        0
  152            29090           2.519           9.992        1
  153            29280           2.519           9.125        0
  154            29470           2.519           9.324        0
  155            29660           2.519           13.84        0
  156            29850           2.519           15.33        1
  157            30040           2.519           9.849        2
  158            30230           2.519           13.94        3
  159            30420           2.519           9.631        4
  160            30610           2.519           9.094        5
  161            30800           2.519            5.23        6
  162            30990           2.519           4.347        7
  163            31180           2.519           4.063        8
  164            31370           2.519           3.096        0
  165            31560           2.519           3.102        1
  166            31750           2.519           2.772        2
  167            31940           2.519           2.569        0
  168            32130           2.519           2.573        0
  169            32320           2.519           2.623        1
  170            32510           2.519           2.599        2
  171            32700           2.519            2.57        0
  172            32890           2.518           2.555        0
  173            33080           2.518           2.597        0
  174            33270           2.518           2.778        1
  175            33460           2.518           2.735        0
  176            33650           2.518           2.793        0
  177            33840           2.518            3.06        1
  178            34030           2.518           2.932        0
  179            34220           2.518           3.066        0
  180            34410           2.518           3.931        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            34600           2.518            3.66        2
  182            34790           2.518           3.222        3
  183            34980           2.518           2.832        4
  184            35170           2.518           2.765        0
  185            35360           2.518           2.689        1
  186            35550           2.518           2.636        2
  187            35740           2.518           2.543        0
  188            35930           2.518            2.55        1
  189            36120           2.518           2.539        0
  190            36310           2.518           2.543        0
  191            36500           2.518           2.585        0
  192            36690           2.518            2.66        1
  193            36880           2.518           2.688        0
  194            37070           2.518           2.787        0
  195            37260           2.518           3.008        1
  196            37450           2.518           2.917        2
  197            37640           2.518           2.765        0
  198            37830           2.518           2.749        1
  199            38020           2.518           2.692        0
  200            38210           2.518           2.808        0
  201            38400           2.518           3.087        0
  202            38590           2.518           3.654        1
  203            38780           2.518           3.883        2
  204            38970           2.518           3.642        3
  205            39160           2.518           3.187        4
  206            39350           2.517           2.837        0
  207            39540           2.517           2.673        1
  208            39730           2.517            2.62        2
  209            39920           2.517           2.567        0
  210            40110           2.517           2.541        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            40300           2.517           2.576        1
  212            40490           2.517           2.565        2
  213            40680           2.517           2.552        0
  214            40870           2.517           2.556        1
  215            41060           2.517           2.547        0
  216            41250           2.517            2.56        1
  217            41440           2.517           2.539        0
  218            41630           2.517           2.548        0
  219            41820           2.517           2.603        0
  220            42010           2.517            2.74        0
  221            42200           2.517           2.852        1
  222            42390           2.517           2.896        2
  223            42580           2.517           2.671        3
  224            42770           2.517           2.594        0
  225            42960           2.517           2.629        0
  226            43150           2.516           2.766        0
  227            43340           2.516           2.884        1
  228            43530           2.516           3.011        2
  229            43720           2.516           2.752        3
  230            43910           2.516           2.657        0
  231            44100           2.516           2.679        0
  232            44290           2.516           2.815        0
  233            44480           2.516           3.176        1
  234            44670           2.516           3.118        0
  235            44860           2.516           3.358        0
  236            45050           2.516           3.953        0
  237            45240           2.516           6.307        1
  238            45430           2.516           5.846        0
  239            45620           2.516           6.253        1
  240            45810           2.516           6.456        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            46000           2.516            5.32        3
  242            46190           2.516           3.655        4
  243            46380           2.516           3.323        0
  244            46570           2.516           3.038        1
  245            46760           2.516           2.838        2
  246            46950           2.516           2.705        0
  247            47140           2.516            2.66        1
  248            47330           2.516            2.57        0
  249            47520           2.516           2.576        1
  250            47710           2.516           2.571        0
  251            47900           2.516           2.606        1
  252            48090           2.516           2.571        0
  253            48280           2.516           2.631        0
  254            48470           2.516           2.813        1
  255            48660           2.515           2.783        0
  256            48850           2.515           2.803        0
  257            49040           2.515            3.18        1
  258            49230           2.515             3.1        2
  259            49420           2.515           2.738        3
  260            49610           2.515            2.65        0
  261            49800           2.515           2.615        0
  262            49990           2.515           2.691        1
  263            50180           2.515           2.641        2
  264            50370           2.515           2.613        0
  265            50560           2.515           2.666        0
  266            50750           2.515           2.706        1
  267            50940           2.515           2.652        2
  268            51130           2.515           2.594        0
  269            51320           2.515           2.605        1
  270            51510           2.515           2.597        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  271            51700           2.515           2.575        3
  272            51890           2.515           2.556        0
  273            52080           2.515            2.55        0
  274            52270           2.515           2.548        1
  275            52460           2.515           2.546        2
  276            52650           2.515           2.527        0
  277            52840           2.515           2.526        0
  278            53030           2.515           2.529        0
  279            53220           2.515           2.624        1
  280            53410           2.515           2.601        0
  281            53600           2.515           2.604        0
  282            53790           2.515           2.796        1
  283            53980           2.515           2.709        0
  284            54170           2.515           2.758        0
  285            54360           2.515           3.245        1
  286            54550           2.515           3.021        0
  287            54740           2.515           3.268        0
  288            54930           2.515           3.623        1
  289            55120           2.515           3.407        0
  290            55310           2.515           3.764        1
  291            55500           2.515            3.61        2
  292            55690           2.515           3.271        0
  293            55880           2.515           3.177        1
  294            56070           2.515           3.296        0
  295            56260           2.515           3.261        1
  296            56450           2.515            2.99        0
  297            56640           2.515           3.411        1
  298            56830           2.515           3.238        2
  299            57020           2.515           2.992        3
  300            57210           2.515           2.813        4

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  301            57400           2.515           2.641        5
  302            57590           2.515           2.591        0
  303            57780           2.515           2.556        0
  304            57970           2.515           2.558        0
  305            58160           2.515           2.582        1
  306            58350           2.515           2.543        2
  307            58540           2.515           2.534        0
  308            58730           2.515           2.547        0
  309            58920           2.515           2.614        0
  310            59110           2.515           2.789        1
  311            59300           2.514           2.773        0
  312            59490           2.514            2.86        1
  313            59680           2.514             2.8        0
  314            59870           2.514           2.792        0
  315            60060           2.514           2.847        1
  316            60250           2.514           2.774        2
  317            60440           2.514           2.719        3
  318            60630           2.514            2.67        0
  319            60820           2.514           2.626        0
  320            61010           2.514           2.705        1
  321            61200           2.514           2.674        0
  322            61390           2.514            2.84        1
  323            61580           2.514           2.673        0
  324            61770           2.514           2.736        0
  325            61960           2.514           3.175        1
  326            62150           2.514           3.001        2
  327            62340           2.514           2.799        3
  328            62530           2.514           2.662        0
  329            62720           2.514           2.693        1
  330            62910           2.514           2.632        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  331            63100           2.514           2.613        0
  332            63290           2.514           2.764        0
  333            63480           2.514           3.033        1
  334            63670           2.514           2.972        2
  335            63860           2.514           2.853        0
  336            64050           2.514           2.874        1
  337            64240           2.514           2.743        0
  338            64430           2.514           2.819        0
  339            64620           2.514           3.186        1
  340            64810           2.514           3.135        0
  341            65000           2.514           3.316        1
  342            65190           2.514            2.98        2
  343            65380           2.514           2.822        3
  344            65570           2.514           2.681        0
  345            65760           2.514           2.669        1
  346            65950           2.514           2.574        2
  347            66140           2.514           2.552        3
  348            66330           2.514           2.533        0
  349            66520           2.514           2.523        0
  350            66710           2.514           2.541        0
  351            66900           2.514           2.588        0
  352            67090           2.514           2.667        1
  353            67280           2.514           2.684        0
  354            67470           2.514           2.762        1
  355            67660           2.514           2.704        2
  356            67850           2.514           2.644        3
  357            68040           2.514            2.61        0
  358            68230           2.514           2.591        1
  359            68420           2.514           2.545        0
  360            68610           2.514           2.556        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  361            68800           2.514           2.581        0
  362            68990           2.514             2.7        0
  363            69180           2.514           3.374        0
  364            69370           2.514           4.705        0
  365            69560           2.514           5.967        0
  366            69750           2.514           7.292        1
  367            69940           2.513           6.996        0
  368            70130           2.513           8.927        1
  369            70320           2.513           8.685        0
  370            70510           2.513           9.903        0
  371            70700           2.513           15.91        1
  372            70890           2.513           12.78        2
  373            71080           2.513           9.343        3
  374            71270           2.513           6.965        4
  375            71460           2.513           5.022        5
  376            71650           2.513           3.797        6
  377            71840           2.513           3.119        7
  378            72030           2.513           2.863        0
  379            72220           2.513           2.699        1
  380            72410           2.513           2.655        2
  381            72600           2.513           2.609        0
  382            72790           2.513           2.613        0
  383            72980           2.513            2.66        1
  384            73170           2.513           2.598        0
  385            73360           2.513            2.59        0
  386            73550           2.513           2.781        1
  387            73740           2.513           2.703        0
  388            73930           2.513            2.68        1
  389            74120           2.513           2.659        0
  390            74310           2.513           2.743        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  391            74500           2.513           2.757        2
  392            74690           2.513           2.624        3
  393            74880           2.513           2.569        0
  394            75070           2.513           2.565        1
  395            75260           2.513           2.555        2
  396            75450           2.513           2.532        0
  397            75640           2.513           2.523        0
  398            75830           2.513           2.532        1
  399            76020           2.513           2.521        0
  400            76210           2.513            2.55        0
  401            76400           2.513           2.575        0
  402            76590           2.513           2.708        1
  403            76780           2.513           2.705        0
  404            76970           2.513           2.861        0
  405            77160           2.513           3.101        1
  406            77350           2.513           2.969        0
  407            77540           2.513           3.197        0
  408            77730           2.513           4.046        0
  409            77920           2.513           6.347        1
  410            78110           2.513           5.359        0
  411            78300           2.513           5.743        0
  412            78490           2.513           8.357        0
  413            78680           2.513           7.783        1
  414            78870           2.513           9.559        0
  415            79060           2.513           9.564        1
  416            79250           2.513           9.351        0
  417            79440           2.513           10.49        0
  418            79630           2.513           15.73        0
  419            79820           2.513           22.33        0
  420            80010           2.513           21.92        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  421            80200           2.513            24.1        2
  422            80390           2.513            22.2        3
  423            80580           2.513           23.34        4
  424            80770           2.513           13.81        5
  425            80960           2.513           11.63        6
  426            81150           2.513            7.25        7
  427            81340           2.513           5.894        8
  428            81530           2.513           4.519        9
  429            81720           2.513           3.473        0
  430            81910           2.513           3.326        1
  431            82100           2.513           2.905        2
  432            82290           2.513           2.754        3
  433            82480           2.513           2.636        0
  434            82670           2.513           2.572        0
  435            82860           2.513           2.634        1
  436            83050           2.513           2.641        0
  437            83240           2.513           2.624        0
  438            83430           2.513           2.711        1
  439            83620           2.513           2.694        0
  440            83810           2.513           2.825        1
  441            84000           2.513            2.75        2
  442            84190           2.513           2.645        3
  443            84380           2.513           2.559        0
  444            84570           2.513           2.553        0
  445            84760           2.513           2.611        0
  446            84950           2.513           2.853        0
  447            85140           2.513           3.092        0
  448            85330           2.513            3.79        0
  449            85520           2.513           10.03        1
  450            85710           2.513           5.938        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  451            85900           2.513            5.26        3
  452            86090           2.513           4.485        4
  453            86280           2.513           3.148        5
  454            86470           2.513            2.96        0
  455            86660           2.513           2.706        0
  456            86850           2.513           2.687        1
  457            87040           2.513           2.672        0
  458            87230           2.513           2.772        1
  459            87420           2.513           2.769        2
  460            87610           2.513           2.686        3
  461            87800           2.513           2.648        0
  462            87990           2.513            2.59        1
  463            88180           2.513           2.542        0
  464            88370           2.512           2.548        0
  465            88560           2.512           2.602        0
  466            88750           2.512           2.724        1
  467            88940           2.512           2.665        0
  468            89130           2.512           2.789        1
  469            89320           2.512           2.681        2
  470            89510           2.512            2.58        3
  471            89700           2.512           2.567        0
  472            89890           2.512           2.553        0
  473            90080           2.512           2.584        0
  474            90270           2.512           2.751        1
  475            90460           2.512           2.654        0
  476            90650           2.512           2.862        1
  477            90840           2.512           2.859        0
  478            91030           2.512           2.814        0
  479            91220           2.512            3.29        0
  480            91410           2.512           3.572        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  481            91600           2.512           3.263        0
  482            91790           2.512           4.167        1
  483            91980           2.512            3.85        0
  484            92170           2.512           4.207        1
  485            92360           2.512           3.699        2
  486            92550           2.512           3.183        3
  487            92740           2.512           2.982        4
  488            92930           2.512           2.867        5
  489            93120           2.512           2.716        0
