    Run       Local       Local      Local    Local   First-order
   Index     exitflag      f(x)     # iter   F-count   optimality
     176         2        278.5        23       516     2.065e+08
     177         2        4.183        30       661     9.075e+04
     178         2        7.683        31       669          6606
     179         2        32.19        11       263         911.4
     180         2        263.9        28       652     1.817e+08
     181         2        280.1         7       197         10.28
     182         2        252.1        10       254         328.7
     183         2        18.39        30       621     1.341e+04
     184         2         8.14        17       383     2.229e+05
     185         2        240.8        13       305     2.407e+08
     186         2        247.5         2        78          1462
     187         2        4.556        25       520          8582
     188         2        41.08         3        92          2246
     189         2        5.511        30       671     2.782e+04
     190         2        279.4        14       304         890.8
     191         2        284.3         5       134          1296
     192         2          282        11       260     1.561e+08
     193         2        266.5        13       318         331.7
     194         2        8.647        20       462          4098
     195         2        261.3        21       494     2.053e+08
     196         2        263.3        17       398         241.3
     197         2        283.9        14       331          6190
     198         2         8.01        22       503     7.368e+04
     199         2        272.7        16       383     1.642e+08
     200         2        276.3         9       229     1.708e+08

MultiStart completed the runs from all start points.

All 200 local solver runs converged with a positive local solver exit flag.
