Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            34600           2.743           3.499        9
  182            34790           2.743           3.207        0
  183            34980           2.743           3.088        0
  184            35170           2.743           3.159        1
  185            35360           2.743           3.068        2
  186            35550           2.743           2.881        0
  187            35740           2.743           2.932        0
  188            35930           2.743           3.075        1
  189            36120           2.743           3.033        2
  190            36310           2.743           2.939        0
  191            36500           2.742           2.904        0
  192            36690           2.742           3.073        1
  193            36880           2.742            2.91        2
  194            37070           2.742           2.907        3
  195            37260           2.742           2.842        0
  196            37450           2.741           2.822        0
  197            37640           2.741           2.875        0
  198            37830           2.741           3.055        1
  199            38020           2.741            2.99        0
  200            38210            2.74           3.093        0
  201            38400           2.739           3.635        0
  202            38590           2.739           4.823        1
  203            38780           2.739           4.138        2
  204            38970           2.739           3.708        0
  205            39160           2.738           3.962        0
  206            39350           2.737           4.488        0
  207            39540           2.737           6.467        1
  208            39730           2.736           5.586        0
  209            39920           2.736           11.23        0
  210            40110           2.736           12.11        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            40300           2.736           15.94        0
  212            40490           2.736           15.69        0
  213            40680           2.736           23.11        1
  214            40870           2.735            25.1        0
  215            41060           2.735           24.13        1
  216            41250           2.735           23.24        2
  217            41440           2.735           20.14        3
  218            41630           2.735            16.1        4
  219            41820           2.735           11.83        5
  220            42010           2.735           8.857        6
  221            42200           2.735           6.379        7
  222            42390           2.735           5.252        8
  223            42580           2.735           3.647        0
  224            42770           2.735           3.456        0
  225            42960           2.735           3.605        0
  226            43150           2.734            4.93        0
  227            43340           2.734           5.405        1
  228            43530           2.734           5.924        0
  229            43720           2.734           7.355        1
  230            43910           2.734           6.332        0
  231            44100           2.734           8.076        1
  232            44290           2.734           7.236        2
  233            44480           2.734           5.297        0
  234            44670           2.734           4.533        1
  235            44860           2.734           4.342        0
  236            45050           2.734           4.992        0
  237            45240           2.734           6.048        0
  238            45430           2.734           9.322        1
  239            45620           2.734           9.568        2
  240            45810           2.734           8.914        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            46000           2.734           6.866        4
  242            46190           2.734           4.493        5
  243            46380           2.734            3.88        6
  244            46570           2.733           3.198        0
  245            46760           2.733            3.11        1
  246            46950           2.733            2.98        0
  247            47140           2.733               3        1
  248            47330           2.732           2.854        0
  249            47520           2.732           2.886        1
  250            47710           2.732           2.786        0
  251            47900           2.732           2.843        0
  252            48090           2.732           2.991        1
  253            48280           2.732            2.99        0
  254            48470           2.732           3.132        1
  255            48660           2.732           3.121        2
  256            48850           2.732           2.984        0
  257            49040           2.732            2.89        1
  258            49230           2.732           2.809        0
  259            49420           2.732           2.865        0
  260            49610           2.732           2.978        0
  261            49800           2.731           3.444        0
  262            49990           2.731           4.568        0
  263            50180           2.728           7.297        0
  264            50370           2.727           8.728        0
  265            50560           2.727           13.15        1
  266            50750           2.726           13.49        0
  267            50940            2.72           13.74        0
  268            51130            2.72           17.74        1
  269            51320            2.72           16.76        2
  270            51510           2.719           13.88        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  271            51700           2.719           15.48        1
  272            51890           2.719           13.85        2
  273            52080           2.719           12.19        3
  274            52270           2.719           9.976        4
  275            52460           2.719           7.307        0
  276            52650           2.719           6.523        0
  277            52840           2.719           8.309        0
  278            53030           2.719           11.13        1
  279            53220           2.719           12.35        2
  280            53410           2.719           8.242        0
  281            53600           2.719           7.757        0
  282            53790           2.719            10.4        1
  283            53980           2.718           12.15        0
  284            54170           2.718           10.58        1
  285            54360           2.718           9.764        2
  286            54550           2.718           7.876        0
  287            54740           2.718           8.969        1
  288            54930           2.718           7.458        2
  289            55120           2.718            5.37        0
  290            55310           2.718           5.853        1
  291            55500           2.718            5.13        0
  292            55690           2.718           4.692        1
  293            55880           2.718           4.471        0
  294            56070           2.718           5.515        1
  295            56260           2.718           4.469        2
  296            56450           2.718           3.903        3
  297            56640           2.718           3.305        0
  298            56830           2.718           3.438        0
  299            57020           2.717            3.82        0
  300            57210           2.717           4.662        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  301            57400           2.717           4.205        2
  302            57590           2.717           3.733        0
  303            57780           2.717           3.964        1
  304            57970           2.716           3.552        0
  305            58160           2.716           3.905        1
  306            58350           2.716           3.619        2
  307            58540           2.715           3.247        0
  308            58730           2.715           3.308        0
  309            58920           2.715           3.783        1
  310            59110           2.715           3.719        2
  311            59300           2.715           3.307        0
  312            59490           2.715           3.372        1
  313            59680           2.715           3.218        0
  314            59870           2.715           3.243        0
  315            60060           2.714           3.288        0
  316            60250           2.714             4.5        0
  317            60440           2.714           5.356        0
  318            60630           2.714           9.851        0
  319            60820           2.714           12.15        0
  320            61010           2.714           20.15        0
  321            61200           2.714           17.09        1
  322            61390           2.714           16.14        2
  323            61580           2.714           17.67        3
  324            61770           2.714           17.56        4
  325            61960           2.714           14.56        5
  326            62150           2.714           9.415        6
  327            62340           2.714           7.538        7
  328            62530           2.714           5.882        8
  329            62720           2.714           4.523        9
  330            62910           2.714           3.875        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  331            63100           2.714           2.953        1
  332            63290           2.714           2.865        0
  333            63480           2.714           2.953        0
  334            63670           2.714           3.024        0
  335            63860           2.714           3.464        1
  336            64050           2.714           3.383        0
  337            64240           2.714           3.842        1
  338            64430           2.714           3.495        2
