Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           2.547            18.2        0
    2              590           2.547           21.19        0
    3              780           2.547           28.17        0
    4              970           2.547           26.92        1
    5             1160           2.547            26.2        2
    6             1350           2.547           21.66        3
    7             1540           2.547           15.66        4
    8             1730           2.547           12.07        5
    9             1920           2.547           9.532        6
   10             2110           2.547           8.337        7
   11             2300           2.547           6.737        8
   12             2490           2.547           4.372        9
   13             2680           2.547           3.403       10
   14             2870           2.547           3.002       11
   15             3060           2.547            2.63        0
   16             3250           2.547           2.596        0
   17             3440           2.547           2.619        0
   18             3630           2.547           2.766        0
   19             3820           2.547           3.199        1
   20             4010           2.547           3.098        2
   21             4200           2.547           2.831        3
   22             4390           2.547           2.699        0
   23             4580           2.547           2.657        1
   24             4770           2.547           2.647        0
   25             4960           2.547            2.61        1
   26             5150           2.547           2.577        0
   27             5340           2.547           2.593        0
   28             5530           2.547            2.82        0
   29             5720           2.547           3.282        0
   30             5910           2.547           3.938        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           2.547           4.781        0
   32             6290           2.547           6.351        0
   33             6480           2.547           8.296        1
   34             6670           2.547            9.36        2
   35             6860           2.547           8.394        0
   36             7050           2.547           7.566        1
   37             7240           2.547           8.137        2
   38             7430           2.547           7.241        3
   39             7620           2.547           6.061        4
   40             7810           2.547           4.218        5
   41             8000           2.547           3.806        6
   42             8190           2.547           3.483        0
   43             8380           2.547           3.415        0
   44             8570           2.547           2.857        1
   45             8760           2.547           2.672        2
   46             8950           2.547           2.661        0
   47             9140           2.547           2.697        1
   48             9330           2.547            2.65        0
   49             9520           2.547           2.681        1
   50             9710           2.547           2.628        0
   51             9900           2.547           2.622        0
   52            10090           2.547           2.741        0
   53            10280           2.547           3.391        1
   54            10470           2.546           3.119        0
   55            10660           2.546            3.39        1
   56            10850           2.546           3.206        0
   57            11040           2.546           3.172        0
   58            11230           2.546           3.735        0
   59            11420           2.546           5.253        1
   60            11610           2.546           5.253        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           2.546           6.162        0
   62            11990           2.546           8.424        1
   63            12180           2.546           8.445        2
   64            12370           2.546           6.664        3
   65            12560           2.546           5.455        4
   66            12750           2.546           4.837        5
   67            12940           2.546            3.24        6
   68            13130           2.546           3.133        0
   69            13320           2.546           3.084        0
   70            13510           2.546           2.737        1
   71            13700           2.546            2.72        2
   72            13890           2.546           2.639        0
   73            14080           2.546           2.653        0
   74            14270           2.546           2.769        1
   75            14460           2.546           2.728        2
   76            14650           2.546            2.67        0
   77            14840           2.546           2.714        0
   78            15030           2.546            2.82        1
   79            15220           2.546           2.763        0
   80            15410           2.546           2.837        1
   81            15600           2.546           2.702        0
   82            15790           2.546           2.687        1
   83            15980           2.546           2.647        0
   84            16170           2.546            2.84        0
   85            16360           2.546            2.93        1
   86            16550           2.546           2.872        0
   87            16740           2.546           3.139        0
   88            16930           2.546           3.496        1
   89            17120           2.546           3.709        2
   90            17310           2.546           3.341        3

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   91            17500           2.546           3.059        4
   92            17690           2.546           2.831        0
   93            17880           2.546           2.757        1
   94            18070           2.546           2.681        0
   95            18260           2.546           2.677        0
   96            18450           2.546           2.862        0
   97            18640           2.546           3.164        1
   98            18830           2.546           3.028        0
   99            19020           2.546           3.272        1
  100            19210           2.546            3.23        2
  101            19400           2.546           2.862        0
  102            19590           2.546           2.824        0
  103            19780           2.546           3.357        0
  104            19970           2.546           3.475        0
  105            20160           2.546           5.278        1
  106            20350           2.545           5.288        0
  107            20540           2.545           6.448        1
  108            20730           2.545           4.832        2
  109            20920           2.545           4.386        3
  110            21110           2.545           3.335        4
  111            21300           2.545           2.994        0
  112            21490           2.545           3.047        1
  113            21680           2.545           2.944        2
  114            21870           2.545           2.877        3
  115            22060           2.545           2.783        4
  116            22250           2.545           2.574        0
  117            22440           2.545           2.563        0
  118            22630           2.545           2.577        1
  119            22820           2.545           2.563        0
  120            23010           2.545           2.571        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  121            23200           2.545           2.679        0
  122            23390           2.545           2.703        0
  123            23580           2.545           3.133        0
  124            23770           2.545           4.109        0
  125            23960           2.545           5.286        1
  126            24150           2.545           5.369        0
  127            24340           2.545           6.108        1
  128            24530           2.545           6.557        0
  129            24720           2.545           7.464        0
  130            24910           2.545           9.589        0
  131            25100           2.545           11.57        0
  132            25290           2.545           13.28        1
  133            25480           2.545           14.99        0
  134            25670           2.545           15.77        1
  135            25860           2.545           15.33        2
  136            26050           2.545           10.55        3
  137            26240           2.545            7.71        4
  138            26430           2.545           7.154        5
  139            26620           2.545           5.251        6
  140            26810           2.545            3.63        7
  141            27000           2.545           3.326        0
  142            27190           2.545            3.06        1
  143            27380           2.545           2.992        0
  144            27570           2.545           2.912        1
  145            27760           2.545           2.858        0
  146            27950           2.545           2.835        1
  147            28140           2.545           2.782        2
  148            28330           2.545           2.678        0
  149            28520           2.545           2.726        1
  150            28710           2.545           2.664        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  151            28900           2.544           2.638        0
  152            29090           2.544           2.725        0
  153            29280           2.544           3.019        1
  154            29470           2.544           2.986        0
  155            29660           2.544           2.867        0
  156            29850           2.544           3.673        0
  157            30040           2.544           5.973        1
  158            30230           2.544           5.714        2
  159            30420           2.544           4.895        3
  160            30610           2.544           3.891        0
  161            30800           2.544           3.596        0
  162            30990           2.544            3.95        1
  163            31180           2.544            3.47        2
  164            31370           2.544           3.213        3
  165            31560           2.544            2.87        0
  166            31750           2.544            2.86        1
  167            31940           2.544           2.837        2
  168            32130           2.544           2.698        0
  169            32320           2.544           2.674        1
  170            32510           2.544           2.645        2
  171            32700           2.544           2.616        0
  172            32890           2.544           2.576        0
  173            33080           2.544           2.604        0
  174            33270           2.544           2.762        0
  175            33460           2.544           3.055        0
  176            33650           2.544           3.555        0
  177            33840           2.544           5.166        0
  178            34030           2.544           8.457        0
  179            34220           2.544           13.44        1
  180            34410           2.544           12.59        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            34600           2.544           11.22        0
  182            34790           2.544           15.95        1
  183            34980           2.544           16.14        0
  184            35170           2.544           13.54        1
  185            35360           2.544           15.89        2
  186            35550           2.544           15.74        3
  187            35740           2.544           15.86        4
  188            35930           2.544           9.932        5
  189            36120           2.544           7.645        6
  190            36310           2.544           5.496        7
  191            36500           2.544           4.924        0
  192            36690           2.544           4.741        1
  193            36880           2.544           2.781        2
  194            37070           2.544           2.699        0
  195            37260           2.544           2.668        0
  196            37450           2.544           2.717        1
  197            37640           2.544           2.681        2
  198            37830           2.544           2.656        3
  199            38020           2.544           2.612        4
  200            38210           2.544           2.597        0
  201            38400           2.544           2.584        0
  202            38590           2.543           2.572        0
  203            38780           2.543           2.642        0
  204            38970           2.543           2.717        0
  205            39160           2.543           2.993        0
  206            39350           2.543           4.107        0
  207            39540           2.543           5.107        1
  208            39730           2.543           4.984        0
  209            39920           2.543           6.481        0
  210            40110           2.543           8.299        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            40300           2.543           11.71        0
  212            40490           2.543           14.72        1
  213            40680           2.543           17.87        2
  214            40870           2.543           17.22        3
  215            41060           2.543           14.75        4
  216            41250           2.543           9.575        5
  217            41440           2.543           6.452        0
  218            41630           2.543           5.974        1
  219            41820           2.543           4.678        2
  220            42010           2.543            3.98        3
  221            42200           2.543           3.685        4
  222            42390           2.543           3.203        0
  223            42580           2.543           3.031        0
  224            42770           2.543           2.831        0
  225            42960           2.543           3.054        1
  226            43150           2.543           2.798        2
  227            43340           2.543           2.814        3
  228            43530           2.543           2.662        0
  229            43720           2.543            2.66        0
  230            43910           2.543           2.694        1
  231            44100           2.543           2.687        0
  232            44290           2.543           2.761        1
  233            44480           2.543           2.703        2
  234            44670           2.543           2.618        0
  235            44860           2.543           2.637        1
  236            45050           2.543           2.632        0
  237            45240           2.543           2.661        0
  238            45430           2.543           2.737        0
  239            45620           2.543           3.163        1
  240            45810           2.543           2.859        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            46000           2.543           3.151        0
  242            46190           2.543           3.593        1
  243            46380           2.543           3.625        2
  244            46570           2.543           3.471        3
  245            46760           2.543           2.916        4
  246            46950           2.543            2.82        0
  247            47140           2.543           2.726        0
  248            47330           2.543           2.733        1
  249            47520           2.543           2.648        0
  250            47710           2.543           2.756        0
  251            47900           2.543           3.078        1
  252            48090           2.543           3.269        2
  253            48280           2.543           2.953        3
  254            48470           2.542           2.653        0
  255            48660           2.542           2.679        1
  256            48850           2.542           2.623        2
  257            49040           2.542           2.586        3
  258            49230           2.542           2.557        0
  259            49420           2.542           2.554        0
  260            49610           2.542           2.581        0
  261            49800           2.542           2.611        1
  262            49990           2.542           2.625        0
  263            50180           2.542           2.679        1
  264            50370           2.542           2.621        0
  265            50560           2.542           2.656        0
  266            50750           2.542           2.795        0
  267            50940           2.542           3.083        0
  268            51130           2.542           3.655        1
