Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400            2.62           17.67        0
    2              590            2.62            23.7        0
    3              780            2.62           30.01        1
    4              970            2.62           26.67        0
    5             1160            2.62           30.27        0
    6             1350            2.62           32.68        0
    7             1540            2.62           31.24        0
    8             1730           2.619           25.31        0
    9             1920           2.619            30.1        1
   10             2110           2.619           25.02        2
   11             2300           2.619           18.29        3
   12             2490           2.619           17.76        4
   13             2680           2.619           17.23        5
   14             2870           2.619           13.51        6
   15             3060           2.619           8.899        7
   16             3250           2.619           5.869        8
   17             3440           2.619           4.852        9
   18             3630           2.619           4.541        0
   19             3820           2.619           4.519        0
   20             4010           2.619           4.795        1
   21             4200           2.619           4.412        2
   22             4390           2.619           2.882        3
   23             4580           2.619           2.801        4
   24             4770           2.619           2.655        0
   25             4960           2.619           2.641        0
   26             5150           2.619            2.67        0
   27             5340           2.619           2.765        1
   28             5530           2.619           2.695        0
   29             5720           2.618           2.834        0
   30             5910           2.618           3.322        1

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           2.618           3.097        2
   32             6290           2.618           3.003        3
   33             6480           2.618            2.75        4
   34             6670           2.618           2.669        5
   35             6860           2.618           2.661        0
   36             7050           2.618           2.633        1
   37             7240           2.618           2.629        0
   38             7430           2.618           2.631        0
   39             7620           2.618           2.644        0
   40             7810           2.618           2.673        0
   41             8000           2.618           2.807        1
   42             8190           2.618           2.745        2
   43             8380           2.618           2.694        0
   44             8570           2.618             2.7        0
   45             8760           2.618           2.791        0
   46             8950           2.617           3.133        0
   47             9140           2.617           3.778        1
   48             9330           2.617            3.79        0
   49             9520           2.617           4.906        1
   50             9710           2.617           4.494        0
   51             9900           2.617           4.933        1
   52            10090           2.617           3.991        2
   53            10280           2.617           3.305        3
   54            10470           2.617           2.916        4
   55            10660           2.615           2.782        0
   56            10850           2.615           2.739        1
   57            11040           2.614           2.694        0
   58            11230           2.614           2.697        1
   59            11420           2.614           2.665        2
   60            11610           2.613           2.655        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           2.613           2.663        1
   62            11990           2.612           2.658        0
   63            12180           2.612           2.654        0
   64            12370           2.612           2.715        0
   65            12560           2.611           2.736        0
   66            12750           2.611           2.919        0
   67            12940            2.61           3.496        0
   68            13130            2.61           4.787        0
   69            13320            2.61           8.385        0
   70            13510            2.61           10.79        0
   71            13700            2.61           15.15        0
   72            13890           2.609           18.73        0
   73            14080           2.609           29.86        1
   74            14270           2.609           28.61        2
   75            14460           2.609            25.7        3
   76            14650           2.609           20.38        0
   77            14840           2.609           20.12        1
   78            15030           2.609            16.5        2
