Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           2.666           15.33        0
    2              590           2.666           21.97        0
    3              780           2.666            25.6        1
    4              970           2.665           23.64        0
    5             1160           2.665           31.37        0
    6             1350           2.665           32.25        1
    7             1540           2.665           31.81        2
    8             1730           2.665            23.5        3
    9             1920           2.665           19.36        0
   10             2110           2.665           20.87        1
   11             2300           2.665           20.69        2
   12             2490           2.665           14.95        3
   13             2680           2.665            13.7        4
   14             2870           2.665           7.211        5
   15             3060           2.665             6.5        6
   16             3250           2.665            5.14        7
   17             3440           2.665           3.754        0
   18             3630           2.665           3.417        1
   19             3820           2.665           3.153        2
   20             4010           2.665           2.877        0
   21             4200           2.665           2.912        0
   22             4390           2.665           2.918        1
   23             4580           2.665           2.822        0
   24             4770           2.665           3.016        0
   25             4960           2.665           3.234        1
   26             5150           2.665           3.223        2
   27             5340           2.665            3.08        0
   28             5530           2.665           3.004        1
   29             5720           2.665           2.841        0
   30             5910           2.665           2.903        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           2.664           3.016        0
   32             6290           2.664           3.458        1
   33             6480           2.664           3.368        0
   34             6670           2.664           3.602        1
   35             6860           2.664           3.446        2
   36             7050           2.664           3.244        0
   37             7240           2.664            3.38        1
   38             7430           2.664           3.227        2
   39             7620           2.664           3.086        0
   40             7810           2.664           2.947        0
   41             8000           2.664            3.23        1
   42             8190           2.664           3.107        0
   43             8380           2.664           3.449        0
   44             8570           2.663           4.189        0
   45             8760           2.663           5.278        0
   46             8950           2.663           9.291        1
   47             9140           2.663           8.852        2
   48             9330           2.662           7.385        0
   49             9520           2.662           6.137        0
   50             9710           2.662           7.126        1
   51             9900           2.662           9.758        0
   52            10090           2.662           11.36        0
   53            10280           2.662           8.712        1
   54            10470           2.662           8.695        2
   55            10660           2.662           8.695        3
   56            10850           2.662           6.708        4
   57            11040           2.662           4.556        5
   58            11230           2.662           3.725        6
   59            11420           2.661           3.084        0
   60            11610           2.661           3.095        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   61            11800           2.661            3.17        1
   62            11990            2.66           3.164        0
   63            12180            2.66           3.486        1
   64            12370            2.66           3.148        0
   65            12560            2.66           3.342        0
   66            12750            2.66           4.004        1
   67            12940            2.66           4.074        0
