Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
    1              400           3.546           20.91        0
    2              590           3.546            23.8        0
    3              780           3.545           32.35        0
    4              970           3.545           30.97        1
    5             1160           3.545           31.38        2
    6             1350           3.545           26.19        0
    7             1540           3.545           25.62        1
    8             1730           3.545           20.53        0
    9             1920           3.545           29.47        1
   10             2110           3.545           30.65        2
   11             2300           3.545           19.15        3
   12             2490           3.545           17.93        4
   13             2680           3.545            14.1        5
   14             2870           3.545           10.79        6
   15             3060           3.545           6.833        0
   16             3250           3.545           7.319        1
   17             3440           3.545           6.038        2
   18             3630           3.544            5.89        0
   19             3820           3.544           6.111        1
   20             4010           3.544            5.26        2
   21             4200           3.544           4.699        0
   22             4390           3.544           4.281        0
   23             4580           3.544           4.593        1
   24             4770           3.544            4.89        2
   25             4960           3.544           4.537        0
   26             5150           3.544           4.091        0
   27             5340           3.544            4.39        1
   28             5530           3.544           4.624        0
   29             5720           3.544           5.102        1
   30             5910           3.544            4.73        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
   31             6100           3.543           5.137        0
   32             6290           3.541           4.826        0
   33             6480           3.541           4.391        0
   34             6670           3.541           5.883        0
   35             6860            3.54           7.444        0
   36             7050            3.54           7.458        0
   37             7240            3.54           13.98        1
   38             7430            3.54           13.85        2
   39             7620            3.54           13.86        3
   40             7810            3.54           11.35        4
   41             8000            3.54           7.672        5
   42             8190            3.54           5.289        6
   43             8380            3.54           4.636        0
   44             8570            3.54           4.374        1
   45             8760           3.539           4.143        0
   46             8950           3.537           4.113        0
   47             9140           3.537           4.396        1
   48             9330           3.537           4.228        2
   49             9520           3.537           4.195        0
   50             9710           3.537           4.117        0
   51             9900           3.537           4.755        1
   52            10090           3.536           4.386        0
