    Run       Local       Local      Local    Local   First-order
   Index     exitflag      f(x)     # iter   F-count   optimality
     169         2        281.6        14       307     1.173e+08
     170         2        230.9        20       461     2.349e+08
     171         2        246.2        12       293     2.206e+08
     172         2        5.152        21       452     1.146e+05
     173         2        282.7        13       304         418.2
     174         2        238.3         8       213         297.5
     175         2        275.2        21       481          47.6
     176         2        280.7         4       109         919.7
     177         2        279.7        39       885         52.93
     178         2        239.7        16       383          5815
     179         2        275.9         4       117           881
     180         2        289.9        19       404          7381
     181         2        280.8         9       247          2465
     182         2        4.912        12       282     1.442e+05
     183         2        11.51        26       562     2.664e+04
     184         2          263        10       256     1.977e+08
     185         2        275.7        19       440     2.066e+08
     186         2        280.5        29       661         762.5
     187         2        277.8        28       625     1.191e+08
     188         2        279.8         6       154          2694
     189         2        274.8        17       401         20.23
     190         2        279.3        16       340          2212
     191         2        19.53         9       226          1361
     192         2        5.006        68      1411          1877
     193         2        4.806        82      1639          4858
     194         2        272.6        14       354     1.789e+08
     195         2        280.1         6       157         69.96
     196         2        280.5        34       734          4479
     197         2        275.2         9       228          1517
     198         2        3.906        57      1256         6.706
     199         2        277.9         5       134          2139
     200         2        277.6        21       473         292.2

MultiStart completed the runs from all start points.

All 200 local solver runs converged with a positive local solver exit flag.
