Multi-objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverintermediate
SelectionFcn:      @selectiontournament
MutationFcn:       @mutationadaptfeasible

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  176         35200         0.0599981           2.60249
  177         35400         0.0585328           2.67256
  178         35600         0.0592519           2.63776
  179         35800         0.0578392           2.70692
  180         36000         0.0585326           2.67255

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  181         36200         0.0571697           2.74084
  182         36400         0.0558974           2.80746
  183         36600         0.0552924           2.84018
  184         36800         0.0592521           2.63777
  185         37000         0.0571698           2.74084
  186         37200         0.0535884           2.93616
  187         37400         0.0535886           2.93617
  188         37600         0.0515436           3.05947
  189         37800         0.0506091           3.08084
  190         38000          0.048073           3.30517
  191         38200         0.0455432            3.3104
  192         38400         0.0455431           3.48105
  193         38600          0.045543           3.48104
  194         38800         0.0455429           3.48103
  195         39000         0.0455429           3.48103
  196         39200         0.0458794           3.45441
  197         39400         0.0458794           3.45441
  198         39600         0.0455398            3.4808
  199         39800         0.0462186           3.42048
  200         40000         0.0455381           3.47381
  201         40200         0.0418352           3.19134
  202         40400          0.041835           3.19133
  203         40600          0.041835           3.19132
  204         40800          0.041835           3.19157
  205         41000         0.0418351           3.19154
  206         41200         0.0418351           3.19188
  207         41400          0.041835           3.19132
  208         41600          0.041833           3.19179
  209         41800         0.0418329           3.19145
  210         42000         0.0427775           3.11711

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  211         42200         0.0418331           3.19205
  212         42400         0.0418332           3.19233
  213         42600         0.0418335           3.19356
  214         42800         0.0418335           3.19369
  215         43000         0.0418309             3.192
  216         43200          0.041831            3.1923
  217         43400         0.0418315           3.19451
  218         43600           0.04183           3.19213
  219         43800         0.0418305           3.19451
  220         44000         0.0418299           3.19247
  221         44200         0.0418302           3.19355
  222         44400         0.0418305           3.19443
  223         44600         0.0418303           3.19372
  224         44800         0.0418305           3.19437
  225         45000         0.0418302           3.19362
  226         45200         0.0418305           3.19448
  227         45400         0.0419493           3.20112
  228         45600         0.0418725           3.19534
  229         45800         0.0418732           3.19827
  230         46000          0.041873           3.19758
  231         46200         0.0418731           3.19785
  232         46400         0.0419639           3.20386
  233         46600         0.0419637           3.20435
  234         46800         0.0419647           3.20765
  235         47000         0.0419638            3.2045
  236         47200         0.0419652           3.20907
  237         47400         0.0419636           3.20367
  238         47600         0.0419648           3.20914
  239         47800         0.0419654           3.21043
  240         48000          0.041658           3.23664

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  241         48200         0.0416168           3.23577
  242         48400          0.041616           3.23292
  243         48600         0.0416159           3.23263
  244         48800         0.0416743           3.23617
  245         49000         0.0416743           3.23608
  246         49200         0.0416743           3.23637
  247         49400         0.0416308           3.23561
  248         49600          0.041632            3.2396
  249         49800          0.041933           3.21181
  250         50000         0.0419326           3.21024
  251         50200         0.0419332           3.21222
  252         50400         0.0419333           3.21248
  253         50600         0.0419337           3.21394
  254         50800         0.0419327            3.2108
  255         51000         0.0419326           3.21043
  256         51200         0.0419329           3.21145
  257         51400         0.0419334           3.21315
  258         51600         0.0419327           3.21068
  259         51800         0.0419337            3.2138
  260         52000         0.0419329           3.21116
  261         52200         0.0419331            3.2121
  262         52400         0.0419358           3.10241
  263         52600         0.0419347           3.21833
  264         52800         0.0419353           3.22057
  265         53000         0.0419357           3.22187
  266         53200         0.0419352           3.21997
  267         53400         0.0419356            3.2215
  268         53600         0.0419348           3.21884
  269         53800         0.0419353           3.22044
  270         54000         0.0419311            3.2206

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  271         54200         0.0419317           3.22267
  272         54400         0.0419322           3.22454
  273         54600         0.0419321           3.22423
  274         54800         0.0419296           3.21566
  275         55000         0.0419305           3.21846
  276         55200         0.0422394           3.19437
  277         55400         0.0422389           3.19298
  278         55600         0.0422399           3.19638
  279         55800           0.04224           3.19667
  280         56000         0.0422397           3.19547
  281         56200         0.0422393           3.19426
  282         56400         0.0422397           3.19547
  283         56600         0.0422385           3.19156
  284         56800         0.0422387           3.19237
  285         57000         0.0422389           3.19315
  286         57200         0.0422391           3.19361
  287         57400         0.0422391           3.19386
  288         57600         0.0422385           3.19166
  289         57800         0.0422378           3.18949
  290         58000          0.042239            3.1935
  291         58200         0.0422402           3.19731
  292         58400         0.0422388           3.19261
  293         58600         0.0422395           3.19508
  294         58800         0.0422401           3.11709
  295         59000         0.0422384           2.68142
  296         59200         0.0422386           3.19224
  297         59400         0.0422394            3.1947
  298         59600         0.0422387           3.19212
  299         59800         0.0422387           3.19222
  300         60000         0.0422397           3.19538

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  301         60200         0.0422382           3.19057
  302         60400         0.0422384           3.19141
  303         60600         0.0422392           3.19371
  304         60800         0.0422382           3.19078
  305         61000         0.0422388           3.19252
  306         61200         0.0422399           3.19618
  307         61400          0.042239           3.19347
  308         61600         0.0422402           3.19731
  309         61800         0.0422398           3.19606
  310         62000         0.0422397           3.19557
  311         62200          0.029846           2.89144
  312         62400         0.0298441           2.88421
  313         62600         0.0298443           2.88524
  314         62800         0.0298445           2.88589
  315         63000         0.0298449            2.8871
  316         63200         0.0298452           2.88828
  317         63400         0.0298461           2.89112
  318         63600         0.0298457           2.88996
  319         63800         0.0298454           2.88901
  320         64000         0.0298456           2.88972
  321         64200         0.0298448           2.88676
  322         64400         0.0298447           2.88635
  323         64600         0.0298451           2.88813
  324         64800         0.0298347           2.88838
  325         65000         0.0298341           2.88633
  326         65200         0.0298348           2.88863
  327         65400         0.0298341           2.88619
  328         65600         0.0298345            2.8876
  329         65800         0.0298351           2.88965
  330         66000         0.0298358           2.89231

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  331         66200         0.0298349           2.88905
  332         66400         0.0298306           2.88957
  333         66600         0.0298297           2.88639
  334         66800         0.0298302           2.88798
  335         67000         0.0298299           2.88708
  336         67200           0.02983           2.88718
  337         67400         0.0298303           2.88839
  338         67600         0.0298309           2.89034
  339         67800         0.0298302           2.88804
  340         68000         0.0298301           2.88781
  341         68200         0.0298303           2.88828
  342         68400         0.0298306           2.88932
  343         68600           0.01455           2.20695
  344         68800         0.0145488           2.20312
  345         69000         0.0145482            2.2013
  346         69200         0.0145494           2.20524
  347         69400         0.0145494           2.20543
  348         69600         0.0145498           2.20674
  349         69800         0.0146059           2.21326
  350         70000         0.0145902            2.2098
  351         70200           0.01459           2.20928
  352         70400         0.0145892           2.20678
  353         70600         0.0145922           2.21675
  354         70800         0.0145898           2.20839
  355         71000         0.0145919           2.21551
  356         71200         0.0145911            2.2129
  357         71400          0.014592           2.21638
  358         71600         0.0145908           2.21222
  359         71800         0.0145906           2.21156
  360         72000         0.0145911            2.2131

                              Average            Average
Generation   Func-count    Pareto distance    Pareto spread
  361         72200         0.0145923           2.21721
  362         72400         0.0145903           2.21064
  363         72600         0.0145909           2.21263
  364         72800          0.014592           2.21638
  365         73000         0.0145915           2.21455
  366         73200         0.0145899           2.20917
  367         73400         0.0145905           2.21118
  368         73600         0.0145907           2.21173
  369         73800         0.0145911           2.21514
