Single objective optimization:
17 Variable(s)

Options:
CreationFcn:       @gacreationuniform
CrossoverFcn:      @crossoverscattered
SelectionFcn:      @selectionstochunif
MutationFcn:       @mutationadaptfeasible

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  181            34600           3.444            4.96        0
  182            34790           3.444           5.473        1
  183            34980           3.444           4.514        2
  184            35170           3.444           3.938        0
  185            35360           3.444           4.238        1
  186            35550           3.444             4.2        2
  187            35740           3.444           4.362        0
  188            35930           3.444           4.252        1
  189            36120           3.444             3.9        0
  190            36310           3.444           3.959        0
  191            36500           3.444           3.924        0
  192            36690           3.443           4.483        0
  193            36880           3.443           4.823        0
  194            37070           3.443            9.64        0
  195            37260           3.443            11.7        1
  196            37450           3.443           11.56        0
  197            37640           3.443           11.68        1
  198            37830           3.443           10.67        2
  199            38020           3.443           10.14        3
  200            38210           3.443           7.443        4
  201            38400           3.443           5.598        5
  202            38590           3.443           5.278        6
  203            38780           3.443           4.404        7
  204            38970           3.443           4.418        0
  205            39160           3.443           4.591        0
  206            39350           3.443            4.01        0
  207            39540           3.443            4.05        1
  208            39730           3.443           4.181        2
  209            39920           3.443           3.995        0
  210            40110           3.443           3.889        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  211            40300           3.443           3.912        0
  212            40490           3.443           4.492        0
  213            40680           3.443            5.67        1
  214            40870           3.442           5.505        0
  215            41060           3.442           5.547        0
  216            41250           3.442            6.64        0
  217            41440           3.442           9.622        0
  218            41630           3.442           11.59        1
  219            41820           3.442           13.41        2
  220            42010           3.442           13.11        3
  221            42200           3.442           11.69        4
  222            42390           3.442           9.608        5
  223            42580           3.442           8.143        6
  224            42770           3.442           7.284        7
  225            42960           3.442           5.924        8
  226            43150           3.442           4.105        9
  227            43340           3.442           4.365        0
  228            43530           3.442            3.89        0
  229            43720           3.442            3.77        0
  230            43910           3.442           3.909        0
  231            44100           3.442           4.373        0
  232            44290           3.442           4.338        0
  233            44480           3.442           5.383        0
  234            44670           3.442           9.768        1
  235            44860           3.442           7.099        2
  236            45050           3.442           6.072        0
  237            45240           3.442           6.511        0
  238            45430           3.442           7.423        0
  239            45620           3.442           13.42        1
  240            45810           3.442           10.99        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  241            46000           3.442           10.64        3
  242            46190           3.442           8.886        4
  243            46380           3.442           5.945        5
  244            46570           3.442           4.676        6
  245            46760           3.442           4.476        0
  246            46950           3.442               4        1
  247            47140           3.442           3.878        0
  248            47330           3.442            3.86        1
  249            47520           3.442           4.033        0
  250            47710           3.442           3.764        0
  251            47900           3.442           4.035        1
  252            48090           3.442           4.395        0
  253            48280           3.442           4.203        0
  254            48470           3.442           4.556        0
  255            48660           3.442           4.678        0
  256            48850           3.442           8.672        0
  257            49040           3.442           8.988        1
  258            49230           3.442           7.965        0
  259            49420           3.442            8.48        1
  260            49610           3.442           11.94        0
  261            49800           3.441           9.934        0
  262            49990           3.441           16.23        0
  263            50180           3.441           17.49        0
  264            50370           3.441           27.42        1
  265            50560           3.441           23.49        2
  266            50750           3.441            20.5        3
  267            50940           3.441           16.62        4
  268            51130           3.441           14.94        5
  269            51320           3.441           10.05        6
  270            51510           3.441           6.879        7

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  271            51700           3.441           5.532        8
  272            51890           3.441            4.59        9
  273            52080           3.441           4.273       10
  274            52270           3.441           4.706        0
  275            52460           3.441           4.253        0
  276            52650           3.441           4.141        1
  277            52840           3.441           3.893        0
  278            53030           3.441           3.808        1
  279            53220           3.441           4.397        2
  280            53410           3.441           3.729        3
  281            53600           3.441           4.106        0
  282            53790           3.441           3.791        1
  283            53980           3.441           4.256        0
  284            54170           3.441           4.237        0
  285            54360           3.441            3.83        1
  286            54550           3.441           4.001        0
  287            54740           3.441            4.22        1
  288            54930           3.441           3.732        0
  289            55120           3.441           4.099        0
  290            55310           3.441           4.147        1
  291            55500           3.441           3.885        0
  292            55690           3.441           3.806        0
  293            55880           3.441           3.946        1
  294            56070           3.441           4.189        2
  295            56260           3.441           4.633        3
  296            56450           3.441           4.145        0
  297            56640           3.441           3.692        1
  298            56830           3.441           3.712        0
  299            57020           3.441           3.948        1
  300            57210           3.441           3.781        2

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  301            57400           3.441           3.762        0
  302            57590           3.441           3.852        0
  303            57780           3.441           4.193        0
  304            57970           3.441           3.608        0
  305            58160           3.441            4.35        0
  306            58350           3.441           4.412        0
  307            58540           3.441           5.519        0
  308            58730           3.441           9.931        1
  309            58920           3.441           7.057        2
  310            59110           3.441           7.356        3
  311            59300           3.441            6.62        4
  312            59490           3.441           5.525        0
  313            59680           3.441           4.445        1
  314            59870           3.441           4.401        0
  315            60060           3.441           4.357        0
  316            60250           3.441           4.631        1
  317            60440           3.441           4.623        0
  318            60630           3.441           4.623        0
  319            60820           3.441           5.291        0
  320            61010           3.441           7.441        1
  321            61200           3.441           7.476        2
  322            61390           3.441           5.447        3
  323            61580           3.441           4.886        4
  324            61770           3.441           4.475        0
  325            61960           3.441           4.466        0
  326            62150           3.441           5.435        1
  327            62340            3.44           4.715        0
  328            62530            3.44           4.686        1
  329            62720            3.44           4.792        0
  330            62910            3.44           4.893        0

                                  Best           Mean      Stall
Generation      Func-count        f(x)           f(x)    Generations
  331            63100            3.44           5.197        1
  332            63290            3.44           4.748        2
  333            63480            3.44           4.985        3
  334            63670            3.44           4.194        0
  335            63860            3.44           4.528        0
  336            64050            3.44            4.51        1
  337            64240            3.44           4.324        2
  338            64430            3.44           4.186        3
